YEAR,OFFICE,CONSTITUENCY,REGION,REGISTERED_VOTERS,VOTES_CAST,VALID_VOTES,VOTES_REJECTED,NPP,PPP,PNC,NDC,DFP,DPP,CPP,RPD,NRP,UGM,UFP,URP,YPP,EGLE,GCPP,GFP,GNP,NVP,NDP,NCP,PCP,IPC,IPP,APC,UPP,IND1,IND2,IND3,IND4,NPP_C,PPP_C,PNC_C,NDC_C,DFP_C,DPP_C,CPP_C,RPD_C,NRP_C,UGM_C,UFP_C,URP_C,YPP_C,EGLE_C,GCPP_C,GFP_C,GNP_C,NVP_C,NDP_C,NCP_C,PCP_C,IPC_C,IPP_C,APC_C,UPP_C,IND1_C,IND2_C,IND3_C,IND4_C
2008_Re-election,Presidential First Round,Ajumako/Enyan/Esiam,Central,,,"36,065",,"16,864",,,"19,201",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Asikuma/Odoben/Brakwa,Central,,,"36,799",,"18,629",,,"18,170",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Assin North,Central,,,"44,886",,"22,645",,,"22,241",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Assin South,Central,,,"32,941",,"18,735",,,"14,206",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Awutu-Senya,Central,,,"64,105",,"29,561",,,"34,544",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Cape Coast,Central,,,"71,438",,"31,521",,,"39,917",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Effutu,Central,,,"27,026",,"12,236",,,"14,790",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Ekumfi,Central,,,"17,563",,"4,716",,,"12,847",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Gomoa East,Central,,,"35,669",,"14,451",,,"21,218",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Gomoa West,Central,,,"33,972",,"13,685",,,"20,287",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Hemang Lower Denkyira,Central,,,"19,094",,"10,177",,,"8,917",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Keea,Central,,,"46,745",,"18,105",,,"28,640",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Mfantseman East,Central,,,"17,563",,"4,716",,,"12,847",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Mfantseman West,Central,,,"48,976",,"28,345",,,"20,631",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
