District,DistrCode,Region,RegCode,Constituency,ConstCode,Atea_SQKM,Total Pop,Percent Male,Percent Female,Percent Age 18-29,Percent Age 30-49,Percent Age 50-64,Percent Age 65 and Above,Percent Edu-Basic,Percent Edu-Secondary,Percent Edu-Tertiary,Percent No Formal,Percent Literate,Percent Non-Literate,Percent Urban,Percent Rural,Percent Employed,Percent Unemployed,Percent Economically Active,Percent Akan,Percent Ga-Dangme,Percent Ewe,Percent Guan,Percent Gurma,Percent Mole-Dagbani,Percent Grusi,Percent Mande,Percent Others,Percent Christian,Percent Islam,Percent Traditionalist,Percent Other Religion,Percent No Religion
Bongo,GH1206,Upper East,GH12,Bongo,R0701,414.8935547,120092,47.3,52.7,22,19.6,7.4,6.6,76.1,18.8,5.1,0,50.1,49.9,60.2,55.3,78.9,21.1,29.4,0.8,0,0,0,0,95.8,3.2,0,0,59.4,8.4,28.7,0.8,2.7
Nabdam,GH1212,Upper East,GH12,Nabdam,R0901,245.0213776,51768,49.3,50.7,24.5,21.1,7.2,5.3,74.4,19.4,6.2,0,46.9,53.1,0,58.2,54.1,45.9,28.8,2.1,0,0,0,0,96.6,1.2,0,0,52.8,2.6,41.2,0.1,3.4
Bawku West,GH1202,Upper East,GH12,Zebilla,R1001,1071.700317,144014,49.1,50.9,21.9,18.6,6.2,5.8,77.5,16.6,5.8,0.1,40.5,59.5,55.8,51.7,81.6,18.4,43.4,0.9,0.9,0.1,0,0.3,88.9,0.9,7.8,1.1,46.5,25.4,24.9,1.2,3.4
Binduri,GH1203,Upper East,GH12,Binduri,R1501,391.9190369,76623,48.2,51.8,20.9,17.7,7.3,7.3,77.7,17.1,5.1,0,40.3,59.7,0,53.3,71.6,28.4,41.5,0.8,0,0.1,0,0.3,88.2,0.4,10,0.2,43.8,42.9,10.7,0.7,2
Bawku Municipal,GH1201,Upper East,GH12,Bawku Central,R1101,247.2364044,118963,48.6,51.4,20.8,21.1,7.3,5.7,71.2,21.1,7.6,0.1,52.3,47.7,56.4,51.9,80.4,19.6,52.6,1.4,0,0.2,0.2,1.1,74.5,1.2,17.1,4.1,14.1,83.8,1.6,0.3,1.9
Garu,GH1209,Upper East,GH12,Garu,R1301,675.6593628,71668,48,52,19.9,17.4,6.9,8.1,77.7,15.6,6.7,0,41.9,58.1,55.2,51.8,78.7,21.3,46.3,1,0.1,0.1,0,21.5,68.3,0.3,8.2,0.6,44.6,43.6,9.2,1.1,0.2
Tempane,GH1215,Upper East,GH12,Tempane,R1401,385.7240295,86848,47.4,52.6,19,17.7,7.3,7.8,79,14.9,6.1,0.1,37,40.3,54.7,51.3,76.4,23.6,41,0.5,0,0,0,27.5,56.3,0.7,14.7,0.3,37.8,52,8.3,0.7,1.5
Pusiga,GH1213,Upper East,GH12,Pusiga,R1201,255.6421814,80090,48.1,51.9,20.2,18.3,6.4,6.2,80.1,12.9,7,0,34.1,65.9,52.8,50.3,76.3,23.7,45,0.6,0,0.1,0,3.1,63,2.2,30.1,0.7,8.8,88,3,0.1,1.2
Wa West,GH1311,Upper West,GH13,Wa West,P0201,1491.533447,96917,47.3,52.7,19.5,18,7.6,6.3,81,13.7,5.2,0.1,35.3,64.7,0,51.4,86.8,13.2,37.6,0.4,0,0.1,0.1,0,97.5,0.3,1.4,0.2,49.5,28.1,14.4,1.3,6.7
Wa East,GH1309,Upper West,GH13,Wa East,P0301,4298.143066,91430,51,49,22.6,19.6,6.1,4.3,79,14.8,6.1,0.1,31.4,68.6,54,52.5,85.9,14.1,52,0.9,0,0,1.2,0.9,66.8,27.6,2.4,0.2,25.9,67.2,4.5,0.5,1.9
Wa Municipal,GH1310,Upper West,GH13,Wa Central,P0101,579.565979,199562,49.1,50.9,26,22.5,6.2,3.6,57.8,23.7,18.4,0.1,70,30,60.2,53.7,85.2,14.8,50.6,2.8,0.3,0.6,1,0.4,91.6,1.8,0.8,0.7,29.5,69.5,0.5,0.2,0.3
Nadowli Kaleo,GH1305,Upper West,GH13,Nadowli Kaleo,P0401,1131.735962,76832,48,52,22.4,18.7,8.2,7.2,72.5,19.9,7.6,0.1,50.7,49.3,60.8,55.5,83.8,16.2,40.7,0.9,0.1,0.1,0.1,0.1,98.1,0.3,0.3,0.1,75.2,14.2,6.8,0.7,3
Daffiama Bussie Issa,GH1301,Upper West,GH13,Daffiama Bussie Issa,P0501,1455.877075,38730,48.8,51.2,22.1,18.9,7.7,6.4,76.8,17.3,5.8,0,37.1,62.9,61.2,54.2,92.9,7.1,45.7,0.6,0.1,0.1,0,0,82.3,16.2,0.6,0.1,56.7,38.2,4.1,0.2,0.9
Sissala East Municipal,GH1307,Upper West,GH13,Sissala East,P1101,5095.354004,80432,49.5,50.5,24.1,21,6,4.1,67.5,22,10.4,0.1,46.8,53.2,61.6,53.2,88.2,11.8,54.6,1.7,0.1,0.2,0.2,0.1,6.9,88.2,2.4,0.3,9.4,89.3,1,0.1,0.2
Sissala West,GH1308,Upper West,GH13,Sissala West,P1001,2050.191895,63776,49.4,50.6,22.1,19.4,6,4.8,77.7,16,6.2,0.1,42.8,57.2,57.4,51.6,84.8,15.2,47.6,0.9,0.1,0.1,0.1,0.1,22.9,72.9,2.9,0.1,18.9,75.5,4.9,0,0.6
Jirapa Municipal,GH1302,Upper West,GH13,Jirapa,P0601,1188.209595,91084,47.2,52.8,23.1,19.2,7.6,6.3,72.9,19.1,7.9,0.1,45.9,54.1,60.5,55.1,82.1,17.9,32.2,0.9,0.1,0.2,0.1,0.1,97.2,0.6,0.8,0.1,74.5,10.7,10.4,0.5,3.9
Lawra Municipal,GH1304,Upper West,GH13,Lawra,P0801,527.0980225,58192,48.5,51.5,21.8,20.2,8.7,7,70.4,22.5,7.1,0.1,48.9,51.1,63.8,56.5,82.2,17.8,41.4,1.3,0.1,0.3,0.1,0.1,97.1,0.6,0.2,0.3,72.1,8.5,12.9,1,5.5
Lambussie Karni,GH1303,Upper West,GH13,Lambussie,P0701,811.4154663,50976,49,51,20.8,18.9,7.5,5.7,76.1,17.8,6,0.1,43.8,56.2,56.3,52.3,89.8,10.2,39.2,0.9,0.1,0.1,0.1,0.1,65.8,29.3,3.1,0.6,54.1,31.3,13.2,0.2,1.3
Nandom Municipal,GH1306,Upper West,GH13,Nandom,P0901,404.3361816,51039,49.9,50.1,20.5,21.2,9.8,7.2,71.2,21,7.8,0.1,52.1,47.9,61.9,58.2,82.9,17.1,43.6,0.9,0.9,0.2,0.1,0.1,96.8,0.6,0.4,0.2,90.2,5.7,3.9,0.1,0.1
